10510MATH101001 	 | 	Calculus I                                                   	 |	3	 | 	T3T4R3R4   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520MATH104005 	 | 	Calculus II                                                  	 |	3	 | 	T3T4R3R4   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510PHYS113301 	 | 	General Physics B (I)                                        	 |	3	 | 	T1T2F1F2   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520PHYS113301 	 | 	General Physics B (II)                                       	 |	3	 | 	T1T2F1F2   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS135501   	 | 	Introduction to Programming (I)                              	 |	3	 | 	M7M8R5R6   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS135601   	 | 	Introduction to Programming (II)                             	 |	3	 | 	T5T6F5F6   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS235101   	 | 	Data Structures                                              	 |	3	 | 	T3T4R3WaWb 	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS235100   	 | 	Data Structures                                              	 |	3	 | 	M5M6R5     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS233601   	 | 	Discrete Mathematics                                         	 |	3	 | 	M3M4W2     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS241001   	 | 	Software Studio                                              	 |	3	 | 	T7T8R7R8   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS210201   	 | 	Digital Logic Design                                         	 |	3	 | 	M7M8R5R6   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS233401   	 | 	Linear Algebra                                               	 |	3	 | 	M3M4W2     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS410000   	 | 	Computer Architecture                                        	 |	3	 | 	M5M6M7     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS410001   	 | 	Computer Architecture                                        	 |	3	 | 	T3T4R3     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS410002   	 | 	Computer Architecture                                        	 |	3	 | 	M7M8R6     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS210401   	 | 	Hardware Design and Lab                                      	 |	3	 | 	T7T8R7R8   	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS333201   	 | 	Probability                                                  	 |	3	 | 	W3W4F4     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS342301   	 | 	Operating Systems                                            	 |	3	 | 	M3M4W2     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS431101   	 | 	Design and Analysis of Algorithms                            	 |	3	 | 	W3W4F3     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS431100   	 | 	Design and Analysis of Algorithms                            	 |	3	 | 	W3W4F3     	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS390100   	 | 	System Integration Implementation I                          	 |	2	 | 	-          	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS390100   	 | 	System Integration Implementation I                          	 |	2	 | 	-          	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10510CS390200   	 | 	System Integration Implementation II                         	 |	2	 | 	-          	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS390200   	 | 	System Integration Implementation II                         	 |	2	 | 	-          	 | 	 - 	 | 	Required 	 | 	- 	 | 	 -
10520CS337100   	 | 	Formal Language & Automata                                   	 |	3	 | 	M7M8R6     	 | 	 - 	 | 	Optional 	 | 	CS_catA 	 | 	TheoryAlgorithm
