Calculus I                                                   	 |	Calculus II
Calculus II                                                   	 |	Design and Analysis of Algorithms
Calculus II                                                   	 |	Probability                                                  
Calculus II                                                  	 |	Engineering Mathematics                                      
General Physics B (I)                                        	 |	General Physics B (II)   
General Physics B (I)                                        	 |	Circuits and Electronics (I) 
General Physics B (II)                                       	 |	END
Introduction to Programming (I)                              	 |	Introduction to Programming (II)                             
Introduction to Programming (II)                             	 |	Data Structures                                              
Data Structures                                              	 |	Introduction to Internet of Things and Applications
Data Structures                                              	 |	Introduction to Computer Networks                            
Data Structures                                              	 |	Introduction to Communication                                
Data Structures                                              	 |	Software Studio                                              
Discrete Mathematics                                         	 |	Probability                                                 
Software Studio                                              	 |	Operating Systems                                            
Software Studio                                              	 |	Competitive Programming Training
Software Studio                                              	 |	Computer System Administration
Software Studio                                              	 |	Programming Top Ten Important Algorithms in Python
Digital Logic Design                                         	 |	Hardware Design and Lab                                      
Digital Logic Design                                         	 |	Computer Architecture                                        
Linear Algebra                                               	 |	Introduction to Multimedia                                   
Linear Algebra                                               	 |	Design and Analysis of Algorithms 
Computer Architecture                                        	 |	Operating Systems                                            
Computer Architecture                                        	 |	Parallel Computer Architecture
Hardware Design and Lab                                      	 |	Digital System Design                                        
Hardware Design and Lab                                      	 |	Introduction to Integrated Circuit Design                    
Hardware Design and Lab                                      	 |	Introduction to Computer-Aided Design of Integrated Circuits 
Probability                                                  	 |	Design and Analysis of Algorithms                            
Probability                                                  	 |	Scientific Computing                                         
Operating Systems                                            	 |	Scientific Computing                                         
Operating Systems                                            	 |	Advanced UNIX Programming                                    
Operating Systems                                            	 |	System Integration Implementation I                          
Operating Systems                                            	 |	Introduction to Database Systems                             
Operating Systems                                            	 |	Formal Language & Automata                                   
Operating Systems                                            	 |	Introduction to Intelligent Computing                        
Operating Systems                                            	 |	Network Programming                                          
Operating Systems                                            	 |	Cloud Programming                                            
Operating Systems                                            	 |	Introduction to Embedded Systems                             
Operating Systems                                            	 |	Cryptography and Network Security                            
Operating Systems                                            	 |	Introduction to Graphics Programming and Applications
Design and Analysis of Algorithms                            	 |	Introduction to Graphics Programming and Applications
Design and Analysis of Algorithms                            	 |	Introduction to Computer-Aided Design of Integrated Circuits 
Design and Analysis of Algorithms                            	 |	Cryptography and Network Security                            
Design and Analysis of Algorithms                            	 |	Cloud Programming                                            
