10520HIS 261100	 | 	A History of Medieval England	 | 	2	 | 	W3W4	 | 	HSSD301	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510GE 178200	 | 	Acupuncture and Modern Sciences	 | 	3	 | 	R2R3R4	 | 	EDU 310	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10520GE 178200	 | 	Acupuncture and Modern Sciences	 | 	3	 | 	W2W3W4	 | 	EDU 311	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510GE 126300	 | 	American Politics	 | 	2	 | 	T3T4	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520HSS 323100	 | 	Analytic Philosophy	 | 	3	 | 	R3R4Rn	 | 	HSSC403A	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510GE 150600	 | 	Appreciation of Art Performing	 | 	2	 | 	M5M6	 | 	MXIC245	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520GE 150600	 | 	Appreciation of Art Performing	 | 	2	 | 	M5M6	 | 	EDU 310	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510GE 122600	 | 	Appreciation of Music (II)	 | 	2	 | 	M7M8	 | 	EDU 311	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510GE 101600	 | 	Art and Esthetics Study	 | 	2	 | 	M7M8	 | 	MXIC253	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520GE 101600	 | 	Art and Esthetics Study	 | 	2	 | 	M7M8	 | 	EDU 314	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510GEC 130401	 | 	Art and Society	 | 	3	 | 	T7T8T9	 | 	EDU 314	 | 	Optional	 | 	GE_core3	 | 	-
10510GEC 130402	 | 	Art and Society	 | 	3	 | 	W3W4Wn	 | 	EDU 313	 | 	Optional	 | 	GE_core3	 | 	-
10510GEC 130403	 | 	Art and Society	 | 	3	 | 	R7R8R9	 | 	EDU 313	 | 	Optional	 | 	GE_core3	 | 	-
10520GEC 130401	 | 	Art and Society	 | 	3	 | 	T7T8T9	 | 	EDU 313	 | 	Optional	 | 	GE_core3	 | 	 - 
10520GEC 130402	 | 	Art and Society	 | 	3	 | 	W7W8W9	 | 	EDU 314	 | 	Optional	 | 	GE_core3	 | 	 - 
10510GE 114600	 | 	Art Project	 | 	1	 | 	WaWb	 | 	 - 	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10520GE 114600	 | 	Art Project	 | 	1	 | 	WaWb	 | 	 - 	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10510GE 125700	 | 	Bible and Life	 | 	2	 | 	W5W6	 | 	MXIC253	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10520GE 125700	 | 	Bible and Life	 | 	2	 | 	W5W6	 | 	MXIC253	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510LS 114000	 | 	Bioethics	 | 	2	 | 	W3W4	 | 	LS II 113	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510GE 103200	 | 	Biomimetics and Modern Science and Engineering	 | 	2	 | 	M3M4	 | 	EDU 314	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10520GE 103200	 | 	Biomimetics and Modern Science and Engineering	 | 	2	 | 	M5M6	 | 	EDU 314	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10520GE 198400	 | 	Border, Identity, and Transnational Migration	 | 	2	 | 	W7W8	 | 	EDU 307	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 101102	 | 	Central Problems in Philosophy	 | 	3	 | 	M3M4Mn	 | 	HSSC404	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510GE 142600	 | 	Chinese Art and Archaeology	 | 	2	 | 	R7R8	 | 	EDU 314	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510GE 107200	 | 	Chinese Herbology and Modern Sciences & Technologies	 | 	3	 | 	F3F4Fn	 | 	EDU 311	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10520GE 107200	 | 	Chinese Herbology and Modern Sciences & Technologies	 | 	3	 | 	F2F3F4	 | 	EDU 310	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510GE 125600	 | 	Chinese Instrumental Music Appreciation	 | 	2	 | 	M7M8	 | 	EDU 309	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520GE 125600	 | 	Chinese Instrumental Music Appreciation	 | 	2	 | 	M5M6	 | 	EDU 309	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510HSS 310300	 | 	Chinese Intellectual and Cultural History	 | 	3	 | 	M7M8M9	 | 	HSSD203	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510GE 131802	 | 	Chinese Modern Poetry	 | 	2	 | 	M5M6	 | 	EDU 313	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10520GE 131800	 | 	Chinese Modern Poetry	 | 	2	 | 	M5M6	 | 	EDU 313	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510GE 103600	 | 	Chinese Music Introduction	 | 	2	 | 	M5M6	 | 	EDU 309	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520GE 103600	 | 	Chinese Music Introduction	 | 	2	 | 	M3M4	 | 	EDU 309	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510GEC 140100	 | 	Civil Society and Constitutional Democracy	 | 	3	 | 	T2T3T4	 | 	EDU 314	 | 	Optional	 | 	GE_core4	 | 	-
10520GEC 140101	 | 	Civil Society and Constitutional Democracy	 | 	3	 | 	T3T4Tn	 | 	EDU 314	 | 	Optional	 | 	GE_core4	 | 	 - 
10520GEC 140102	 | 	Civil Society and Constitutional Democracy	 | 	3	 | 	M7M8M9	 | 	EDU 309	 | 	Optional	 | 	GE_core4	 | 	 - 
10510GEC 130600	 | 	Classic of Art : Analysis of Taiwan Cinema	 | 	3	 | 	W7W8W9	 | 	DELTA108	 | 	Optional	 | 	GE_core3	 | 	-
10520GEC 130600	 | 	Classic of Art : Analysis of Taiwan Cinema	 | 	3	 | 	W7W8W9	 | 	MXIC245	 | 	Optional	 | 	GE_core3	 | 	 - 
10510GEC 130700	 | 	Classic of Literature: Selection from Classics in Taiwanese Literature	 | 	3	 | 	M5M6M7	 | 	HSSC204	 | 	Optional	 | 	GE_core3	 | 	-
10520GEC 110700	 | 	Classics of Western Thought: Classics of Existentialism	 | 	3	 | 	T3T4Tn	 | 	EDU 310	 | 	Optional	 | 	GE_core1	 | 	 - 
10510GE 109601	 | 	Clay Work	 | 	2	 | 	M1M2M3M4	 | 	EDU	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10510GE 109602	 | 	Clay Work	 | 	2	 | 	M5M6M7M8	 | 	EDU	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10510GE 109603	 | 	Clay Work	 | 	2	 | 	T5T6T7T8	 | 	EDU	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10520GE 109601	 | 	Clay Work	 | 	2	 | 	M1M2M3M4	 | 	EDU	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10520GE 109602	 | 	Clay Work	 | 	2	 | 	M5M6M7M8	 | 	EDU	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10520GE 109603	 | 	Clay Work	 | 	2	 | 	T5T6T7T8	 | 	EDU	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10510CHE 453000	 | 	Climate Change	 | 	3	 | 	F2F3F4	 | 	CHE202	 | 	Optional	 | 	GE_naturalSciences	 | 	SciTechSociety
10520HSS 313800	 | 	Commercial Media, Science, and Technology in the Port-Cities of 19th Century East Asia	 | 	3	 | 	T5T6T7	 | 	HSSD203	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10520GEC 120100	 | 	Contemporary Biology and Your Life	 | 	2	 | 	W7W8	 | 	LS II	 | 	Optional	 | 	GE_core2	 | 	 - 
10510LS 114300	 | 	Contemporary Cognitive Neuroscience: Brain and Mind	 | 	2	 | 	T7T8	 | 	LS II	 | 	Optional	 | 	GE_core2	 | 	-
10510CL 490900	 | 	Contemporary Drama	 | 	3	 | 	R3R4Rn	 | 	HSSC509	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520HSS 221100	 | 	Contemporary Japanese Philosophy	 | 	3	 | 	M3M4Mn	 | 	HSSC204	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510GEC 110100	 | 	Contemporary Scientific Civilization	 | 	3	 | 	W9WaWb	 | 	EDU 309	 | 	Optional	 | 	GE_core1	 | 	-
10520GEC 110100	 | 	Contemporary Scientific Civilization	 | 	3	 | 	W9WaWb	 | 	EDU 309	 | 	Optional	 | 	GE_core1	 | 	 - 
10520HIS 111000	 | 	Continuity and Change in Chinese History (II)	 | 	2	 | 	T5T6	 | 	MXIC245	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510HIS 110900	 | 	Continuity and Change in the Chinese History	 | 	2	 | 	T5T6	 | 	MXIC245	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10520HSS 211200	 | 	Continuity and Severance: History of the Liao, Chin and Yuan Dynasties, 907-1368	 | 	3	 | 	W3W4Wn	 | 	HSSD202	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10520GE 126500	 | 	Corporate Cultures	 | 	2	 | 	T1T2	 | 	MXIC253	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10520GE 150300	 | 	Country Liability and Compensation	 | 	2	 | 	W7W8	 | 	EDU 311	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10510GEC 110201	 | 	Critical Thinking	 | 	3	 | 	F2F3F4	 | 	EDU 314	 | 	Optional	 | 	GE_core1	 | 	-
10510GEC 110202	 | 	Critical Thinking	 | 	3	 | 	R2R3R4	 | 	EDU 311	 | 	Optional	 | 	GE_core1	 | 	-
10520GEC 110201	 | 	Critical Thinking	 | 	3	 | 	W3W4Wn	 | 	EDU 309	 | 	Optional	 | 	GE_core1	 | 	 - 
10510GE 132700	 | 	Cross-border and Exploration	 | 	2	 | 	M5M6	 | 	EDU 211	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GEC 130501	 | 	Culture Creativity and New Media	 | 	2	 | 	W5W6	 | 	DELTA108	 | 	Optional	 | 	GE_core3	 | 	-
10510GE 158400	 | 	Current important issues in international Relations	 | 	2	 | 	W7W8	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520GE 158400	 | 	Current important issues in international Relations	 | 	2	 | 	R1R2	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520BME 200100	 | 	Daily Biomedical Engineering	 | 	3	 | 	W9WaWb	 | 	EDU 311	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510GE 106600	 | 	Design Drawing	 | 	2	 | 	R5R6R7R8	 | 	EDU 407	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10520GE 106600	 | 	Design Drawing	 | 	2	 | 	R5R6R7R8	 | 	EDU 407	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10510GEC 160900	 | 	Dialogue with Classics:Selections from the Prose of Han Yu	 | 	3	 | 	M2M3M4	 | 	TSMC206	 | 	Optional	 | 	GE_core3	 | 	-
10510GEC 160800	 | 	Dialogue with Classics:Selections from the Prose of Ouyang Xiu	 | 	3	 | 	M5M6M7	 | 	TSMC206	 | 	Optional	 | 	GE_core3	 | 	-
10510ECON100300	 | 	Economics101	 | 	3	 | 	M7M8M9	 | 	TSMC309	 | 	Optional	 | 	GE_core4	 | 	-
10510GEC 120200	 | 	Eco-system and Global Changes	 | 	2	 | 	M3M4	 | 	EDU 310	 | 	Optional	 | 	GE_core2	 | 	-
10520GEC 120200	 | 	Eco-system and Global Changes	 | 	2	 | 	T7T8	 | 	EDU 311	 | 	Optional	 | 	GE_core2	 | 	 - 
10510TE 202101	 | 	Educational Psychology	 | 	2	 | 	T3T4	 | 	EDU 305	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GE 108600	 | 	Element of Art	 | 	2	 | 	T5T6T7T8	 | 	EDU 407	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10520GE 108600	 | 	Element of Art	 | 	2	 | 	T5T6T7T8	 | 	EDU 407	 | 	Optional	 | 	GE_humanities	 | 	StudioArt
10510GE 100200	 | 	Engineering Ethics	 | 	2	 | 	W5W6	 | 	DELTA	 | 	Optional	 | 	GE_naturalSciences	 | 	SciTechSociety
10510HSS 220300	 | 	Ethics	 | 	3	 | 	T3T4Tn	 | 	HSSC403A	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510GE 180200	 | 	Exercise and Health	 | 	2	 | 	M1M2	 | 	EDU 309	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10520GE 180200	 | 	Exercise and Health	 | 	2	 | 	M1M2	 | 	MXIC253	 | 	Optional	 | 	GE_naturalSciences	 | 	AppliedScience
10510GE 156600	 | 	Exploring Digital Performances and Practice	 | 	2	 | 	F5F6	 | 	ENG I 202	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510GE 186400	 | 	Food Safety and Life	 | 	3	 | 	R7R8R9	 | 	MXIC346	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10520GE 156400	 | 	Food: From Earth to Table	 | 	2	 | 	M3M4	 | 	EDU 211	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GE 111300	 | 	Foreign Relations of Republic of China, 1912-now	 | 	2	 | 	T5T6	 | 	EDU 311	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520GE 111300	 | 	Foreign Relations of Republic of China, 1912-now	 | 	2	 | 	T5T6	 | 	EDU 211	 | 	Optional	 | 	GE_socialSciences	 | 	LawPolitics
10520GE 122400	 | 	Freedom and Action	 | 	2	 | 	WaWb	 | 	D-Ren	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 370100	 | 	Gender and Religion	 | 	3	 | 	W2W3W4	 | 	HSSC205	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 391000	 | 	Gender and Writing	 | 	3	 | 	T3T4Tn	 | 	HSSC507	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GE 139400	 | 	Gender Thinking	 | 	3	 | 	M7M8M9	 | 	EDU 307	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520HSS 373200	 | 	Genders, Bodies and Time in Science Fiction	 | 	3	 | 	M7M8M9	 | 	HSSD202	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
