10510PE 205011	 | 	Aerobics dancing	 |	0	 | 	T3T4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205057	 | 	Aerobics dancing	 |	0	 | 	W7W8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205092	 | 	Aerobics dancing	 |	0	 | 	M5M6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 206056	 | 	Aerobics dancing	 |	0	 | 	W7W8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205036	 | 	Badminton	 |	0	 | 	W1W2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205039	 | 	Badminton	 |	0	 | 	W3W4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205046	 | 	Badminton	 |	0	 | 	W5W6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205055	 | 	Badminton	 |	0	 | 	W7W8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205061	 | 	Badminton	 |	0	 | 	R1R2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205064	 | 	Badminton	 |	0	 | 	R3R4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205068	 | 	Badminton	 |	0	 | 	R5R6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205078	 | 	Badminton	 |	0	 | 	R7R8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112019	 | 	Badminton	 |	0	 | 	F5F6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112024	 | 	Badminton	 |	0	 | 	F7F8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206020	 | 	Badminton	 |	0	 | 	T5T6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206031	 | 	Badminton	 |	0	 | 	T7T8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206040	 | 	Badminton	 |	0	 | 	W1W2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206042	 | 	Badminton	 |	0	 | 	W3W4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206060	 | 	Badminton	 |	0	 | 	R1R2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206063	 | 	Badminton	 |	0	 | 	R3R4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
